Mass,Capacity,Area,Volume,Loading
mg,mAh/g,cm²,µL,mg/cm²
7.00,712.00,2.00,50.00,3.50
cycle_index,start,end,time(c),time(d),capacity(c),capacity(d),energy(c),energy(d),energy(c),energy(d),Vav(c),Vav(d),current(c),current(d),efficiency,hysteresis,density(c),density(d),density(c),density(d),c-rate(c),c-rate(d)
,,,s,s,mAh/g,mAh/g,Wh/kg,Wh/kg,Wh/L,Wh/L,V,V,A,A,%,V,mA/g,mA/g,mA/cm²,mA/cm²,h,h
1,0,832,39850.007042,59082.822864,138.133990,206.590363,424.370129,352.819804,59.411818,49.394773,3.068691,1.710460,8.735197e-05,8.811490e-05,1.358231,1.495579,12.478853,12.587843,0.043676,0.044057,57.056528,56.562510
2,833,1586,41550.498773,45892.677552,144.014521,160.639492,443.646486,322.204346,62.110508,45.108608,3.079380,2.010775,8.734350e-05,8.820830e-05,1.068605,1.115440,12.477643,12.601186,0.043672,0.044104,57.062060,56.502618
3,1587,2333,41495.565553,45248.153324,143.825044,158.380435,445.590562,323.103306,62.382679,45.234463,3.096271,2.047813,8.734406e-05,8.820663e-05,1.048458,1.101202,12.477723,12.600947,0.043672,0.044103,57.061695,56.503691
4,2334,3063,40573.759946,44024.061962,140.611972,154.101011,437.604939,314.844663,61.264691,44.078253,3.107911,2.047725,8.733284e-05,8.820961e-05,1.060186,1.095931,12.476120,12.601373,0.043666,0.044105,57.069025,56.501778
5,3064,3776,39722.628776,42857.529222,137.685459,150.055380,429.852929,306.654358,60.179410,42.931610,3.119884,2.048605,8.734753e-05,8.823177e-05,1.071279,1.089842,12.478219,12.604538,0.043674,0.044116,57.059426,56.487591
6,3777,4477,39079.214366,42046.557473,135.442084,147.185759,423.628758,301.093545,59.308026,42.153096,3.124883,2.051370,8.733903e-05,8.821367e-05,1.073512,1.086706,12.477004,12.601953,0.043670,0.044107,57.064983,56.499180
7,4478,5167,38531.081217,41413.223890,133.560770,144.971770,418.249227,296.982173,58.554892,41.577504,3.135188,2.058191,8.735108e-05,8.821551e-05,1.076997,1.085437,12.478725,12.602215,0.043676,0.044108,57.057110,56.498002
8,5168,5850,38075.176852,40874.863359,131.966084,143.067284,413.671205,293.535943,57.913969,41.095032,3.132414,2.057812,8.734156e-05,8.820324e-05,1.074602,1.084122,12.477366,12.600464,0.043671,0.044102,57.063327,56.505858
9,5851,6526,37672.161113,40415.955863,130.600597,141.460672,409.740393,290.582739,57.363655,40.681583,3.133111,2.061271,8.736252e-05,8.820301e-05,1.071840,1.083155,12.480360,12.600430,0.043681,0.044102,57.049634,56.506008
10,6527,7195,37307.017162,39983.192981,129.347159,139.954785,406.076947,287.833435,56.850773,40.296681,3.136656,2.066304,8.737092e-05,8.820858e-05,1.070353,1.082009,12.481560,12.601225,0.043685,0.044104,57.044151,56.502441
11,7196,7858,36965.065670,39587.319607,128.161402,138.604181,402.633652,285.301176,56.368711,39.942165,3.142025,2.066151,8.737080e-05,8.823091e-05,1.075873,1.081481,12.481543,12.604416,0.043685,0.044115,57.044230,56.488138
12,7859,8515,36617.697651,39185.989531,126.947242,137.148213,399.078298,282.612520,55.870962,39.565753,3.147053,2.066152,8.736405e-05,8.819823e-05,1.080901,1.080356,12.480579,12.599747,0.043682,0.044099,57.048635,56.509070
13,8516,9167,36315.661664,38803.835906,125.903015,135.830439,396.034488,280.077381,55.444828,39.210833,3.145350,2.066543,8.736605e-05,8.821105e-05,1.078807,1.078850,12.480865,12.601578,0.043683,0.044106,57.047330,56.500859
14,9168,9812,35990.650154,38397.080319,124.785947,134.472717,392.806247,277.539802,54.992875,38.855572,3.152078,2.072431,8.737286e-05,8.825443e-05,1.079647,1.077627,12.481836,12.607776,0.043686,0.044127,57.042888,56.473085
15,9813,10452,35683.501341,38003.664662,123.681608,133.065912,389.551225,274.865887,54.537171,38.481224,3.149851,2.072470,8.734503e-05,8.823520e-05,1.077381,1.075875,12.477862,12.605029,0.043673,0.044118,57.061059,56.485393
16,10453,11087,35384.503567,37646.095438,122.650234,131.786559,386.530771,272.396553,54.114308,38.135517,3.148055,2.074375,8.734857e-05,8.821689e-05,1.073681,1.074491,12.478368,12.602412,0.043674,0.044108,57.058745,56.497120
17,11088,11716,35086.812797,37305.263213,121.632408,130.610654,383.488641,270.207956,53.688410,37.829114,3.156765,2.077231,8.735865e-05,8.822853e-05,1.079534,1.073815,12.479807,12.604076,0.043679,0.044114,57.052162,56.489665
18,11717,12340,34798.195331,36936.868923,120.621728,129.317440,380.491709,267.772767,53.268839,37.488187,3.155820,2.078995,8.735130e-05,8.822620e-05,1.076826,1.072091,12.478757,12.603743,0.043676,0.044113,57.056965,56.491157
19,12341,12960,34553.246952,36645.612613,119.786853,128.277973,377.998000,265.915197,52.919720,37.228128,3.158431,2.078533,8.736165e-05,8.821260e-05,1.079898,1.070885,12.480236,12.601801,0.043681,0.044106,57.050204,56.499863
20,12961,13575,34300.248255,36329.127326,118.901923,127.190174,375.318997,263.963496,52.544660,36.954889,3.160093,2.084001,8.735588e-05,8.822652e-05,1.076092,1.069707,12.479412,12.603788,0.043678,0.044113,57.053971,56.490953
21,13576,14186,34052.125344,36030.472155,118.037899,126.105285,372.675460,261.972689,52.174564,36.676176,3.161775,2.082729,8.735299e-05,8.819904e-05,1.079046,1.068346,12.478999,12.599863,0.043676,0.044100,57.055858,56.508549
22,14187,14793,33831.662149,35755.578966,117.293306,125.153298,370.426429,260.284814,51.859700,36.439874,3.154295,2.090217,8.736761e-05,8.820618e-05,1.064078,1.067011,12.481087,12.600883,0.043684,0.044103,57.046316,56.503976
23,14794,15396,33599.925590,35484.125885,116.471855,124.214402,367.917877,258.635191,51.508503,36.208927,3.157921,2.091058,8.735408e-05,8.821418e-05,1.066863,1.066476,12.479155,12.602025,0.043677,0.044107,57.055145,56.498856
24,15397,15995,33377.281743,35242.836944,115.696892,123.354307,365.509256,257.126715,51.171296,35.997740,3.161516,2.093185,8.735168e-05,8.820313e-05,1.068330,1.066185,12.478812,12.600447,0.043676,0.044102,57.056715,56.505931
25,15996,16591,33225.698384,35034.571394,115.164211,122.643684,363.817007,255.989290,50.934381,35.838501,3.160028,2.098457,8.734619e-05,8.821632e-05,1.061572,1.064946,12.478027,12.602331,0.043673,0.044108,57.060303,56.497485
26,16592,17185,33057.866070,34831.806524,114.594861,121.928947,362.018240,254.770112,50.682554,35.667816,3.156848,2.095455,8.735562e-05,8.821275e-05,1.061393,1.064000,12.479375,12.601822,0.043678,0.044106,57.054140,56.499768
27,17186,17775,32892.458104,34648.172364,114.018170,121.291075,360.187204,253.769920,50.426208,35.527789,3.165148,2.102007,8.735309e-05,8.821634e-05,1.063141,1.063787,12.479013,12.602335,0.043677,0.044108,57.055795,56.497467
28,17776,18363,32735.818646,34456.434857,113.495175,120.612723,358.494337,252.621903,50.189207,35.367066,3.162655,2.100724,8.736847e-05,8.821112e-05,1.061931,1.062712,12.481210,12.601588,0.043684,0.044106,57.045751,56.500815
29,18364,18949,32604.491751,34303.907100,113.015801,120.046185,356.958316,251.731445,49.974164,35.242402,3.162297,2.101196,8.734987e-05,8.818715e-05,1.061101,1.062207,12.478553,12.598165,0.043675,0.044094,57.057897,56.516169
30,18950,19532,32487.956152,34160.193665,112.609880,119.567062,355.608332,251.064941,49.785166,35.149092,3.163363,2.110361,8.734834e-05,8.820471e-05,1.053002,1.061781,12.478334,12.600673,0.043674,0.044102,57.058899,56.504919
31,19533,20114,32370.223127,34021.157238,112.227770,119.102330,354.336867,250.408409,49.607161,35.057177,3.152237,2.111980,8.736856e-05,8.822095e-05,1.040257,1.061255,12.481223,12.602992,0.043684,0.044110,57.045692,56.494519
32,20115,20694,32250.123958,33870.049113,111.813491,118.580147,352.960476,249.554452,49.414467,34.937623,3.152760,2.112590,8.737021e-05,8.822602e-05,1.040169,1.060517,12.481458,12.603717,0.043685,0.044113,57.044617,56.491270
33,20695,21272,32153.276501,33742.745857,111.477261,118.118356,351.843389,248.921954,49.258074,34.849074,3.155536,2.115008,8.736985e-05,8.821400e-05,1.040527,1.059574,12.481407,12.602000,0.043685,0.044107,57.044849,56.498969
34,21273,21848,32080.246848,33660.135730,111.217647,117.804615,350.913919,248.532560,49.127949,34.794558,3.159978,2.120104,8.736481e-05,8.819561e-05,1.039874,1.059226,12.480687,12.599373,0.043682,0.044098,57.048140,56.510748
35,21849,22424,32002.005932,33573.194511,110.959677,117.521087,349.987012,248.229497,48.998182,34.752130,3.152095,2.117107,8.737527e-05,8.821119e-05,1.034989,1.059133,12.482181,12.601598,0.043688,0.044106,57.041312,56.500769
36,22425,22998,31903.925736,33456.496704,110.604671,117.117013,348.807625,247.629214,48.833067,34.668090,3.154682,2.119758,8.736347e-05,8.821452e-05,1.034924,1.058879,12.480496,12.602074,0.043682,0.044107,57.049015,56.498637
37,22999,23571,31847.182365,33385.473218,110.414905,116.866704,348.089327,247.375791,48.732506,34.632611,3.148288,2.125422,8.736897e-05,8.821325e-05,1.022866,1.058432,12.481282,12.601892,0.043684,0.044107,57.045423,56.499452
38,23572,24143,31793.723036,33316.328220,110.221749,116.614274,347.356954,247.108577,48.629974,34.595201,3.154785,2.123801,8.736278e-05,8.820539e-05,1.030984,1.057997,12.480397,12.600770,0.043681,0.044103,57.049466,56.504484
39,24144,24714,31761.357660,33277.864507,110.106527,116.509241,346.894537,247.074545,48.565235,34.590436,3.151054,2.130754,8.736039e-05,8.822780e-05,1.020300,1.058150,12.480055,12.603972,0.043680,0.044114,57.051030,56.490129
40,24715,25285,31709.241158,33214.824105,109.927107,116.258016,346.214848,246.802443,48.470079,34.552342,3.145383,2.129047,8.736138e-05,8.820465e-05,1.016336,1.057592,12.480197,12.600665,0.043681,0.044102,57.050380,56.504956
41,25286,25854,31657.808695,33143.823579,109.746156,116.014413,345.546685,246.581385,48.376536,34.521394,3.152018,2.134983,8.735927e-05,8.820839e-05,1.017034,1.057116,12.479896,12.601198,0.043680,0.044104,57.051757,56.502564
42,25855,26423,31631.795998,33102.321524,109.633821,115.851016,345.073358,246.414730,48.310270,34.498062,3.148849,2.134321,8.734162e-05,8.819459e-05,1.014527,1.056709,12.477374,12.599227,0.043671,0.044097,57.063288,56.511404
43,26424,26992,31586.273790,33085.793697,109.499534,115.814417,344.446640,246.552558,48.222530,34.517358,3.142939,2.134798,8.736036e-05,8.821077e-05,1.008140,1.057670,12.480051,12.601538,0.043680,0.044105,57.051047,56.501038
44,26993,27560,31604.932598,33007.159428,109.544471,115.532072,344.564690,246.090331,48.239057,34.452646,3.144818,2.139287,8.734462e-05,8.820536e-05,1.005532,1.054659,12.477802,12.600765,0.043672,0.044103,57.061331,56.504506
45,27561,28129,31617.322357,33055.798936,109.604716,115.711049,344.621992,246.613170,48.247079,34.525844,3.144936,2.136233,8.735840e-05,8.821201e-05,1.008703,1.055712,12.479772,12.601716,0.043679,0.044106,57.052324,56.500243
46,28130,28697,31590.221797,33009.494298,109.494611,115.529594,344.187630,246.463525,48.186268,34.504894,3.142225,2.143493,8.734551e-05,8.819722e-05,0.998733,1.055117,12.477931,12.599603,0.043673,0.044099,57.060743,56.509715
47,28698,29266,31610.702886,33037.974570,109.599473,115.609313,344.436004,246.699386,48.221041,34.537914,3.143577,2.138359,8.737252e-05,8.818200e-05,1.005219,1.054835,12.481788,12.597429,0.043686,0.044091,57.043108,56.519471
48,29267,29834,31602.374871,33023.106268,109.538822,115.567257,344.144884,246.774326,48.180284,34.548406,3.142324,2.146952,8.734718e-05,8.818961e-05,0.995372,1.055035,12.478168,12.598516,0.043674,0.044095,57.059656,56.514594
49,29835,30403,31632.238915,33039.630976,109.660631,115.677003,344.401663,247.094319,48.216233,34.593205,3.144228,2.141172,8.736175e-05,8.822921e-05,1.003055,1.054864,12.480251,12.604173,0.043681,0.044115,57.050136,56.489230
50,30404,30973,31700.498909,33071.607641,109.908759,115.746240,345.128334,247.381938,48.317967,34.633471,3.138689,2.143945,8.737089e-05,8.819666e-05,0.994744,1.053112,12.481555,12.599522,0.043685,0.044098,57.044173,56.510078
51,30974,31542,31708.601002,33013.192203,109.945700,115.564440,345.108718,247.058728,48.315221,34.588222,3.138656,2.149264,8.737792e-05,8.821394e-05,0.989392,1.051105,12.482560,12.601992,0.043689,0.044107,57.039581,56.499004
52,31543,32112,31737.153269,33046.376286,110.047754,115.654978,345.358753,247.304953,48.350225,34.622693,3.140814,2.144421,8.738035e-05,8.819440e-05,0.996392,1.050953,12.482906,12.599201,0.043690,0.044097,57.037998,56.511522
53,32113,32682,31755.683385,33069.796517,110.094369,115.739568,345.424286,247.524198,48.359400,34.653388,3.141978,2.146625,8.736635e-05,8.819640e-05,0.995353,1.051276,12.480907,12.599486,0.043683,0.044098,57.047137,56.510241
54,32683,33253,31798.367686,33111.553528,110.249839,115.872384,345.825048,247.834714,48.415507,34.696860,3.133655,2.149795,8.737228e-05,8.818626e-05,0.983861,1.050998,12.481755,12.598037,0.043686,0.044093,57.043263,56.516741
55,33254,33825,31821.601186,33144.637068,110.307106,115.968211,345.942430,248.089004,48.431940,34.732461,3.135747,2.144710,8.735384e-05,8.817109e-05,0.991037,1.051321,12.479120,12.595871,0.043677,0.044086,57.055305,56.526462
56,33826,34397,31874.753572,33196.705141,110.508017,116.130024,346.531849,248.422227,48.514459,34.779112,3.140116,2.148050,8.736701e-05,8.815563e-05,0.992065,1.050874,12.481002,12.593662,0.043684,0.044078,57.046702,56.536375
57,34398,34970,31924.045865,33204.334661,110.662208,116.208863,346.951900,248.591507,48.573266,34.802811,3.133066,2.148840,8.735383e-05,8.819521e-05,0.984227,1.050122,12.479118,12.599316,0.043677,0.044098,57.055312,56.511004
58,34971,35543,31969.894087,33232.244661,110.831147,116.311805,347.424154,248.768137,48.639382,34.827539,3.137048,2.150702,8.736172e-05,8.819920e-05,0.986345,1.049451,12.480246,12.599886,0.043681,0.044100,57.050159,56.508447
59,35544,36118,32046.706379,33299.102475,111.097391,116.531725,348.213528,249.177843,48.749894,34.884898,3.132433,2.146904,8.736168e-05,8.818855e-05,0.985529,1.048915,12.480241,12.598364,0.043681,0.044094,57.050182,56.515275
60,36119,36693,32088.467988,33325.050212,111.231081,116.638291,348.623148,249.353690,48.807241,34.909517,3.136560,2.148391,8.735298e-05,8.820047e-05,0.988169,1.048612,12.478997,12.600066,0.043676,0.044100,57.055868,56.507638
61,36694,37270,32148.236311,33393.967149,111.447258,116.864252,349.243480,249.696949,48.894087,34.957573,3.130143,2.144164,8.736003e-05,8.818896e-05,0.985979,1.048606,12.480004,12.598422,0.043680,0.044094,57.051262,56.515012
62,37271,37848,32227.453311,33487.148418,111.733747,117.193575,350.080028,250.307916,49.011204,35.043108,3.137102,2.142212,8.736931e-05,8.819139e-05,0.994891,1.048865,12.481330,12.598770,0.043685,0.044096,57.045201,56.513455
63,37849,38427,32314.975324,33543.488404,112.033798,117.402448,351.023105,250.666672,49.143235,35.093334,3.134303,2.145022,8.736667e-05,8.820018e-05,0.989280,1.047920,12.480952,12.600026,0.043683,0.044100,57.046928,56.507822
64,38428,39008,32393.616070,33621.468931,112.314529,117.659982,351.935163,251.032027,49.270923,35.144484,3.130346,2.141083,8.737296e-05,8.818864e-05,0.989263,1.047594,12.481851,12.598377,0.043686,0.044094,57.042819,56.515217
65,39009,39589,32456.290232,33679.496624,112.511918,117.882296,352.541406,251.397314,49.355797,35.195624,3.136523,2.144011,8.735750e-05,8.820304e-05,0.992511,1.047732,12.479643,12.600434,0.043679,0.044102,57.052915,56.505992
66,39590,40172,32574.371191,33773.611361,112.939777,118.217869,353.897959,251.859377,49.545714,35.260313,3.136248,2.140944,8.737183e-05,8.820763e-05,0.995304,1.046734,12.481690,12.601090,0.043686,0.044104,57.043558,56.503047
67,40173,40757,32654.797223,33866.118000,113.226102,118.504531,354.835717,252.218594,49.677000,35.310603,3.132749,2.137382,8.737760e-05,8.818000e-05,0.995368,1.046618,12.482514,12.597142,0.043689,0.044090,57.039791,56.520755
68,40758,41344,32759.076520,34003.094567,113.606049,119.002293,356.049358,252.998615,49.846910,35.419806,3.131357,2.135992,8.739173e-05,8.819367e-05,0.995365,1.047500,12.484533,12.599096,0.043696,0.044097,57.030567,56.511991
69,41345,41932,32833.658794,34100.778507,113.823119,119.332603,356.798324,253.399852,49.951765,35.475979,3.139176,2.132741,8.735982e-05,8.818513e-05,1.006435,1.048404,12.479975,12.597876,0.043680,0.044093,57.051398,56.517465
70,41933,42525,33108.294870,34303.723086,114.764912,120.047915,359.732049,254.365594,50.362487,35.611183,3.129565,2.125940,8.735200e-05,8.818890e-05,1.003625,1.046033,12.478857,12.598414,0.043676,0.044094,57.056507,56.515052
71,42526,43118,33163.095443,34287.354350,114.955758,119.969874,360.480962,254.182203,50.467335,35.585508,3.136964,2.125453,8.735268e-05,8.817364e-05,1.011511,1.043618,12.478954,12.596234,0.043676,0.044087,57.056066,56.524830
72,43119,43713,33284.676933,34421.192716,115.379067,120.467301,361.894765,254.851202,50.665267,35.679168,3.137596,2.123307,8.735408e-05,8.819497e-05,1.014289,1.044100,12.479155,12.599281,0.043677,0.044097,57.055145,56.511161
73,43714,44310,33440.886199,34553.303151,115.918109,120.896856,363.748857,255.373356,50.924840,35.752270,3.142431,2.120972,8.735224e-05,8.817104e-05,1.021459,1.042951,12.478892,12.595863,0.043676,0.044086,57.056350,56.526495
74,44311,44911,33582.891798,34741.320513,116.439977,121.562425,365.389073,256.376404,51.154470,35.892697,3.132936,2.114920,8.737447e-05,8.817665e-05,1.018016,1.043992,12.482067,12.596664,0.043687,0.044088,57.041833,56.522903
75,44912,45514,33772.604973,34906.656171,117.097376,122.144314,367.575072,257.082498,51.460510,35.991550,3.140291,2.113837,8.737419e-05,8.817908e-05,1.026455,1.043100,12.482027,12.597011,0.043687,0.044090,57.042019,56.521345
76,45515,46121,33958.477939,35094.384937,117.725798,122.774140,369.676344,257.880825,51.754688,36.103316,3.136089,2.106544,8.736228e-05,8.815964e-05,1.029546,1.042882,12.480326,12.594234,0.043681,0.044080,57.049792,56.533806
77,46122,46731,34179.796690,35313.569168,118.511655,123.578073,372.310887,258.952310,52.123524,36.253323,3.146406,2.100917,8.737599e-05,8.818614e-05,1.045489,1.042750,12.482285,12.598020,0.043688,0.044093,57.040839,56.516816
78,46732,47345,34395.930952,35527.139699,119.272149,124.305741,374.854373,259.855343,52.479612,36.379748,3.145243,2.094582,8.738412e-05,8.817216e-05,1.050661,1.042203,12.483446,12.596023,0.043692,0.044086,57.035535,56.525778
79,47346,47963,34658.158822,35786.235688,120.183432,125.201853,377.900872,261.071070,52.906122,36.549950,3.148413,2.090830,8.738556e-05,8.816481e-05,1.057582,1.041756,12.483651,12.594973,0.043693,0.044082,57.034597,56.530491
80,47964,48585,34904.552987,36049.839389,121.021151,126.168077,380.763935,262.428986,53.306951,36.740058,3.150717,2.087419,8.737350e-05,8.819555e-05,1.063298,1.042529,12.481929,12.599365,0.043687,0.044098,57.042466,56.510785
81,48586,49213,35201.485160,36372.954181,122.041858,127.293457,384.105295,263.948943,53.774741,36.952852,3.145551,2.079132,8.736719e-05,8.819177e-05,1.066419,1.043031,12.481027,12.598824,0.043684,0.044096,57.046587,56.513211
82,49214,49847,35590.453165,36736.581950,123.399532,128.564134,388.635573,265.666205,54.408980,37.193269,3.149467,2.072793,8.737366e-05,8.819046e-05,1.076674,1.041853,12.481952,12.598638,0.043687,0.044095,57.042362,56.514047
83,49848,50486,35889.978410,37070.114613,124.434087,129.705524,392.163319,267.196666,54.902865,37.407533,3.156719,2.065141,8.737088e-05,8.817289e-05,1.091578,1.042363,12.481554,12.596127,0.043685,0.044086,57.044178,56.525310
84,50487,51132,36280.492014,37473.897613,125.782205,131.106822,396.679127,269.131812,55.535078,37.678454,3.150397,2.060571,8.736683e-05,8.816515e-05,1.089825,1.042332,12.480976,12.595022,0.043683,0.044083,57.046822,56.530271
85,51133,51785,36695.421400,37900.218964,127.229923,132.649408,401.538383,271.267368,56.215374,37.977432,3.157173,2.050541,8.737314e-05,8.819910e-05,1.106632,1.042596,12.481877,12.599871,0.043687,0.044100,57.042705,56.508515
86,51786,52446,37128.735581,38359.419061,128.733708,134.247565,406.616946,273.566709,56.926372,38.299339,3.155192,2.042090,8.737409e-05,8.819317e-05,1.113102,1.042831,12.482013,12.599024,0.043687,0.044097,57.042083,56.512315
87,52447,53115,37601.385602,38878.547315,130.378921,136.043730,412.105417,276.116044,57.694758,38.656246,3.156354,2.036435,8.737840e-05,8.817979e-05,1.119918,1.043449,12.482628,12.597112,0.043689,0.044090,57.039270,56.520890
88,53116,53568,11200.206542,39418.856662,38.820757,137.937815,90.451735,278.766584,12.663243,39.027322,2.348256,2.025031,8.734509e-05,8.818198e-05,0.323224,3.553197,12.477870,12.597426,0.043673,0.044091,57.061019,56.519482
